"Artist","Artist__URI","Nationality","Nationality__URI","Number of members","Period active","Genre","Genre__URI","Studio albums","Claimed sales"
"The Andrews Sisters","http://dbpedia.org/resource/The_Andrews_Sisters","United States","http://dbpedia.org/resource/United_States","3","1925–1952, 1954–1967 (38 years)","Traditional popp","http://dbpedia.org/resource/Traditional_pop","12","90 million[2]"
"The Andrews Sisters","http://dbpedia.org/resource/The_Andrews_Sisters","United States","http://dbpedia.org/resource/United_States","3","1925–1952, 1954–1967 (38 years)","swing musicc","http://dbpedia.org/resource/Swing_music","12","90 million[2]"
"Spice Girls","http://dbpedia.org/resource/Spice_Girls","United Kingdom","http://dbpedia.org/resource/United_Kingdom","5 → 4 → 5 → 4","1994–2000, 2007–2008, 2012, 2018–present (13 years)","Poop","http://dbpedia.org/resource/Pop_music","3","85 million[1]"
"TLC","http://dbpedia.org/resource/TLC_(group)","United States","http://dbpedia.org/resource/United_States","3 → 2","1991–2003, 2017 (13 years)","Popp","http://dbpedia.org/resource/Pop_music","5","65 million[3]"
"TLC","http://dbpedia.org/resource/TLC_(group)","United States","http://dbpedia.org/resource/United_States","3 → 2","1991–2003, 2017 (13 years)","Hip hopp","http://dbpedia.org/resource/Hip_hop_music","5","65 million[3]"
"TLC","http://dbpedia.org/resource/TLC_(group)","United States","http://dbpedia.org/resource/United_States","3 → 2","1991–2003, 2017 (13 years)","R&B","http://dbpedia.org/resource/Contemporary_R&B","5","65 million[3]"
"TLC","http://dbpedia.org/resource/TLC_(group)","United States","http://dbpedia.org/resource/United_States","3 → 2","1991–2003, 2017 (13 years)","Soull","http://dbpedia.org/resource/Soul_music","5","65 million[3]"
"Destiny's Child","http://dbpedia.org/resource/Destiny's_Child","United States","http://dbpedia.org/resource/United_States","4 → 3","1997–2006 (9 years)","Popp","http://dbpedia.org/resource/Pop_music","5","60 million[5]"
"Destiny's Child","http://dbpedia.org/resource/Destiny's_Child","United States","http://dbpedia.org/resource/United_States","4 → 3","1997–2006 (9 years)","R&BB","http://dbpedia.org/resource/Contemporary_R&B","5","60 million[5]"
"AKB48","http://dbpedia.org/resource/AKB48","Japan","http://dbpedia.org/resource/Japan","Rotational","2005–present (14 years)","J-popp","http://dbpedia.org/resource/J-pop","8","58 million[4]"
"The Pussycat Dolls","http://dbpedia.org/resource/The_Pussycat_Dolls","United States","http://dbpedia.org/resource/United_States","6 → 5","2003–2010 (7 years)","Popp","http://dbpedia.org/resource/Pop_music","2","54 million[6]"
"The Pussycat Dolls","http://dbpedia.org/resource/The_Pussycat_Dolls","United States","http://dbpedia.org/resource/United_States","6 → 5","2003–2010 (7 years)","R&BB","http://dbpedia.org/resource/Contemporary_R&B","2","54 million[6]"
"Little Mix","http://dbpedia.org/resource/Little_Mix","United Kingdom","http://dbpedia.org/resource/United_Kingdom","4","2011–present (8 years)","Pop","http://dbpedia.org/resource/Pop_music","5","50 million[7]"
"Bananarama","http://dbpedia.org/resource/Bananarama","United Kingdom","http://dbpedia.org/resource/United_Kingdom","3 → 2 → 3 → 2","1979–present (40 years)","Popp","http://dbpedia.org/resource/Pop_music","11","40 million[8]"
"The Pointer Sisters","http://dbpedia.org/resource/The_Pointer_Sisters","United States","http://dbpedia.org/resource/United_States","2 → 3 → 4 → 3 → 4","1969–present (50 years)","RR&B","http://dbpedia.org/resource/Contemporary_R&B","16","40 million[9]"
"The Pointer Sisters","http://dbpedia.org/resource/The_Pointer_Sisters","United States","http://dbpedia.org/resource/United_States","2 → 3 → 4 → 3 → 4","1969–present (50 years)","souul","http://dbpedia.org/resource/Soul_music","16","40 million[9]"
"The Nolans","http://dbpedia.org/resource/The_Nolans","Ireland","http://dbpedia.org/resource/Ireland","5 → 4 → 5 → 4 → 4 → 3 → 2 → 4","1974–2005, 2009","Popp","http://dbpedia.org/resource/Pop_music","22","25 million"
"The Supremes","http://dbpedia.org/resource/The_Supremes","United States","http://dbpedia.org/resource/United_States","4 → 3","1959–1977 (18 years)","R&BB","http://dbpedia.org/resource/Contemporary_R&B","29","20+ million[11][A]"
"The Supremes","http://dbpedia.org/resource/The_Supremes","United States","http://dbpedia.org/resource/United_States","4 → 3","1959–1977 (18 years)","pop","http://dbpedia.org/resource/Pop_music","29","20+ million[11][A]"
"The Supremes","http://dbpedia.org/resource/The_Supremes","United States","http://dbpedia.org/resource/United_States","4 → 3","1959–1977 (18 years)","soul","http://dbpedia.org/resource/Soul_music","29","20+ million[11][A]"
"En Vogue","http://dbpedia.org/resource/En_Vogue","United States","http://dbpedia.org/resource/United_States","4 → 3","1989–present (30 years)","R&BB","http://dbpedia.org/resource/Contemporary_R&B","8","20 million[14][15][16]"
"Speed","http://dbpedia.org/resource/Speed_(Japanese_band)","Japan","http://dbpedia.org/resource/Japan","4","1996–2000, 2008–2012 (10 years)","J-popp","http://dbpedia.org/resource/J-pop","5","20 million[17]"
