"Country","Country__URI","Country_misspelled","Country_misspelled__URI"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Allabama","http://dbpedia.org/resource/Alabama_(state)"
"AAlabama","http://dbpedia.org/resource/Alabama_(state)","Alabamma","http://dbpedia.org/resource/Alabama_(state)"
"Alasska","http://dbpedia.org/resource/Alaska_(state)","Alsaka","http://dbpedia.org/resource/Alaska_(state)"
"AArizona","http://dbpedia.org/resource/Arizona_(state)","Arizonia","http://dbpedia.org/resource/Arizona_(state)"
"Arizonaa","http://dbpedia.org/resource/Arizona_(state)","Arzinoa","http://dbpedia.org/resource/Arizona_(state)"
"Californiaa","http://dbpedia.org/resource/California_(state)","Califronia","http://dbpedia.org/resource/California_(state)"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Calorado","http://dbpedia.org/resource/Colorado_(state)"
"CColorado","http://dbpedia.org/resource/Colorado_(state)","Colarado","http://dbpedia.org/resource/Colorado_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connecticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","conneticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connetticut","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","connetticutt","http://dbpedia.org/resource/Connecticut_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","conneticut","http://dbpedia.org/resource/Connecticut_(state)"
"Delawaare","http://dbpedia.org/resource/Delaware_(state)","Delawere","http://dbpedia.org/resource/Delaware_(state)"
"FFlorida","http://dbpedia.org/resource/Florida_(state)","Floridas","http://dbpedia.org/resource/Florida_(state)"
"Floridaa","http://dbpedia.org/resource/Florida_(state)","Floryda","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Florda","http://dbpedia.org/resource/Florida_(state)"
"Florida","http://dbpedia.org/resource/Florida_(state)","Flordia","http://dbpedia.org/resource/Florida_(state)"
"Georgiaa","http://dbpedia.org/resource/Georgia_(U.S._state)","Georgeia","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Georgiaa","http://dbpedia.org/resource/Georgia_(U.S._state)","Georgea","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Hawaiii","http://dbpedia.org/resource/Hawaii_(state)","Hawai","http://dbpedia.org/resource/Hawaii_(state)"
"Hawwaii","http://dbpedia.org/resource/Hawaii_(state)","Howaii","http://dbpedia.org/resource/Hawaii_(state)"
