"musician","musician__URI","genre","genre__URI","instrument","instrument__URI"
"""Baby Face"" Lerroy Foster","http://dbpedia.org/resource/Leroy_Foster_(musician)","Bluess","http://dbpedia.org/resource/Blues","Human voice","http://dbpedia.org/resource/Human_voice"
"""Baby Face"" Leroy Foster","http://dbpedia.org/resource/Leroy_Foster_(musician)","Blues","http://dbpedia.org/resource/Blues","Drum","http://dbpedia.org/resource/Drum"
"""Baby Face"" Leroy Foster","http://dbpedia.org/resource/Leroy_Foster_(musician)","Bluess","http://dbpedia.org/resource/Blues","Guitar","http://dbpedia.org/resource/Guitar"
"""Blue"" or ""The Lionn of the Blues""","http://dbpedia.org/resource/Bobby_Bland","R&B","http://dbpedia.org/resource/R&B","Harmonica","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","R&&B","http://dbpedia.org/resource/R&B","Singing","http://dbpedia.org/resource/Singing"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Bluess","http://dbpedia.org/resource/Blues","Harmonica","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""""","http://dbpedia.org/resource/Bobby_Bland","Bluess","http://dbpedia.org/resource/Blues","Singing","http://dbpedia.org/resource/Singing"
"""Blue"" or ""The Lion of the Blues""""","http://dbpedia.org/resource/Bobby_Bland","Soul bluess","http://dbpedia.org/resource/Soul_blues","Harmonica","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Soul bllues","http://dbpedia.org/resource/Soul_blues","Singing","http://dbpedia.org/resource/Singing"
"""Blue"" or ""The Lion of the Bllues""","http://dbpedia.org/resource/Bobby_Bland","Soul music","http://dbpedia.org/resource/Soul_music","Harmonica","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""""","http://dbpedia.org/resource/Bobby_Bland","Soul music","http://dbpedia.org/resource/Soul_music","Singing","http://dbpedia.org/resource/Singing"
"""Brownsville"" Son Bonds, Brother Son Bondss","http://dbpedia.org/resource/Son_Bonds","Country bluess","http://dbpedia.org/resource/Country_blues","Human voice","http://dbpedia.org/resource/Human_voice"
"""Brownsville"" Son Bonds, Brother Son Bonds","http://dbpedia.org/resource/Son_Bonds","Country bluess","http://dbpedia.org/resource/Country_blues","Guitar","http://dbpedia.org/resource/Guitar"
"""Brownsviille"" Son Bonds, Brother Son Bonds","http://dbpedia.org/resource/Son_Bonds","Country bluess","http://dbpedia.org/resource/Country_blues","Kazoo","http://dbpedia.org/resource/Kazoo"
"""Ragtime"" Bob Roberts","http://dbpedia.org/resource/Bob_Roberts_(singer)","VVaudeville","http://dbpedia.org/resource/Vaudeville","Vocal","http://dbpedia.org/resource/Vocal"
"""Ragtime"" Bob Robertss","http://dbpedia.org/resource/Bob_Roberts_(singer)","NNovelty song","http://dbpedia.org/resource/Novelty_song","Vocal","http://dbpedia.org/resource/Vocal"
"""Robert Junior"" Lockwoodd","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Chicago blues","http://dbpedia.org/resource/Chicago_blues","Guitar","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Chicago blues","http://dbpedia.org/resource/Chicago_blues","Organ (music)","http://dbpedia.org/resource/Organ_(music)"
"""Robert Junior"" Lockwoodd","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Country blues","http://dbpedia.org/resource/Country_blues","Guitar","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" LLockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Country bluess","http://dbpedia.org/resource/Country_blues","Organ (music)","http://dbpedia.org/resource/Organ_(music)"
"""Robert Junior"" Lockwwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Delta bluess","http://dbpedia.org/resource/Delta_blues","Guitar","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" Lockwoodd","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Delta bluess","http://dbpedia.org/resource/Delta_blues","Organ (music)","http://dbpedia.org/resource/Organ_(music)"
"""Robert Junior"" Lockwoodd","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Elecctric blues","http://dbpedia.org/resource/Electric_blues","Guitar","http://dbpedia.org/resource/Guitar"
