"Country","Country__URI"
"Allabama","http://dbpedia.org/resource/Alabama_(state)"
"Arizonia","http://dbpedia.org/resource/Arizona_(state)"
"Califronia","http://dbpedia.org/resource/California_(state)"
"Calorado","http://dbpedia.org/resource/Colorado_(state)"
"Colarado","http://dbpedia.org/resource/Colorado_(state)"
"connetticut","http://dbpedia.org/resource/Connecticut_(state)"
"conneticut","http://dbpedia.org/resource/Connecticut_(state)"
"Delawere","http://dbpedia.org/resource/Delaware_(state)"
"Floridas","http://dbpedia.org/resource/Florida_(state)"
"Floryda","http://dbpedia.org/resource/Florida_(state)"
"Florda","http://dbpedia.org/resource/Florida_(state)"
"Flordia","http://dbpedia.org/resource/Florida_(state)"
"Georgeia","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Georgea","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Howaii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawii","http://dbpedia.org/resource/Hawaii_(state)"
"Hawaai","http://dbpedia.org/resource/Hawaii_(state)"
"Ideho","http://dbpedia.org/resource/Idaho_(state)"
"Illanoise","http://dbpedia.org/resource/Illinois_(state)"
"Ioaw","http://dbpedia.org/resource/Iowa_(state)"
"Louiseiana","http://dbpedia.org/resource/Louisiana_(state)"
"main","http://dbpedia.org/resource/Maine_(state)"
"Massachussetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Masachusets","http://dbpedia.org/resource/Massachusetts_(state)"
"Massachussets","http://dbpedia.org/resource/Massachusetts_(state)"
"michagan","http://dbpedia.org/resource/Michigan_(state)"
"Mississipi","http://dbpedia.org/resource/Mississippi_(state)"
"Misouri","http://dbpedia.org/resource/Mississippi_(state)"
"Missisipi","http://dbpedia.org/resource/Mississippi_(state)"
"Nebrascka","http://dbpedia.org/resource/Nebraska_(state)"
"Newvada","http://dbpedia.org/resource/Nevada_(state)"
"NewHampshire","http://dbpedia.org/resource/New_Hampshire_(state)"
"newjersey","http://dbpedia.org/resource/New_Jersey_(state)"
"Newyork","http://dbpedia.org/resource/New_York_(state)"
"North Caroleina","http://dbpedia.org/resource/North_Carolina_(state)"
"n.dak","http://dbpedia.org/resource/North_Dakota_(state)"
"ndak","http://dbpedia.org/resource/North_Dakota_(state)"
"Oiho","http://dbpedia.org/resource/Ohio_(state)"
"Okalahoma","http://dbpedia.org/resource/Oklahoma_(state)"
"Pensylvania","http://dbpedia.org/resource/Pennsylvania_(state)"
"rhodeisland","http://dbpedia.org/resource/Rhode_Island_(state)"
"rode island","http://dbpedia.org/resource/Rhode_Island_(state)"
"rhod island","http://dbpedia.org/resource/Rhode_Island_(state)"
"southcarolina","http://dbpedia.org/resource/South_Carolina_(state)"
"sout carolin","http://dbpedia.org/resource/South_Carolina_(state)"
"south carolna","http://dbpedia.org/resource/South_Carolina_(state)"
"south carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"texes","http://dbpedia.org/resource/Texas_(state)"
"texis","http://dbpedia.org/resource/Texas_(state)"
"Utes","http://dbpedia.org/resource/Utah_(state)"
"West Virgina","http://dbpedia.org/resource/West_Virginia_(state)"
"West Virgnia","http://dbpedia.org/resource/West_Virginia_(state)"
"Wioming","http://dbpedia.org/resource/Wyoming_(state)"
"Wisconson","http://dbpedia.org/resource/Wyoming_(state)"
"Alabama","http://dbpedia.org/resource/Alabama_(state)"
"Alaska","http://dbpedia.org/resource/Alaska_(state)"
"Arizona","http://dbpedia.org/resource/Arizona_(state)"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)"
"Hawaii","http://dbpedia.org/resource/Hawaii_(state)"
"Idaho","http://dbpedia.org/resource/Idaho_(state)"
"Iowa","http://dbpedia.org/resource/Iowa_(state)"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)"
"Maine","http://dbpedia.org/resource/Maine_(state)"
"Maryland","http://dbpedia.org/resource/Maryland_(state)"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)"
"Michigan","http://dbpedia.org/resource/Michigan_(state)"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)"
"Nevada","http://dbpedia.org/resource/Nevada_(state)"
"New Mexico","http://dbpedia.org/resource/New_Mexico_(state)"
"North Dakota","http://dbpedia.org/resource/North_Dakota_(state)"
"Oregon","http://dbpedia.org/resource/Oregon_(state)"
"Rhode Island","http://dbpedia.org/resource/Rhode_Island_(state)"
"South Carolina","http://dbpedia.org/resource/South_Carolina_(state)"
"South Dakota","http://dbpedia.org/resource/South_Dakota_(state)"
"Tennessee","http://dbpedia.org/resource/Tennessee_(state)"
"Utah","http://dbpedia.org/resource/Utah_(state)"
"Wyoming","http://dbpedia.org/resource/Wyoming_(state)"
