"Rank","Name","Name__URI","Countries with shoreline","Countries with shoreline__URI","Area","Length","Maximum depth","Water volume"
"1","Caspian Seaa","http://dbpedia.org/resource/Caspian_Sea","Kazakhstaan","http://dbpedia.org/resource/Kazakhstan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Seaa","http://dbpedia.org/resource/Caspian_Sea","Russsia","http://dbpedia.org/resource/Russia","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Seaa","http://dbpedia.org/resource/Caspian_Sea","Turkmenistann","http://dbpedia.org/resource/Turkmenistan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Seaa","http://dbpedia.org/resource/Caspian_Sea","Azerbaijan","http://dbpedia.org/resource/Azerbaijan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"1","Caspian Seaa","http://dbpedia.org/resource/Caspian_Sea","IIran","http://dbpedia.org/resource/Iran","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)"
"2","Superiorr","http://dbpedia.org/resource/Lake_Superior","Canadaa","http://dbpedia.org/resource/Canada","82,100 km2 (31,700 sq mi)","616 km (383 mi)","406.3 m (1,333 ft)","12,100 km3 (2,900 cu mi)"
"2","Superiorr","http://dbpedia.org/resource/Lake_Superior","United States","http://dbpedia.org/resource/United_States","82,100 km2 (31,700 sq mi)","616 km (383 mi)","406.3 m (1,333 ft)","12,100 km3 (2,900 cu mi)"
"3","Victoria","http://dbpedia.org/resource/Lake_Victoria","Uganda","http://dbpedia.org/resource/Uganda","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)"
"3","Victoriaa","http://dbpedia.org/resource/Lake_Victoria","Kenyaa","http://dbpedia.org/resource/Kenya","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)"
"3","Victoria","http://dbpedia.org/resource/Lake_Victoria","Tanzania","http://dbpedia.org/resource/Tanzania","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)"
"4","Huron","http://dbpedia.org/resource/Lake_Huron","Canada","http://dbpedia.org/resource/Canada","59,600 km2 (23,000 sq mi)","332 km (206 mi)","229 m (751 ft)","3,540 km3 (850 cu mi)"
"4","Huronn","http://dbpedia.org/resource/Lake_Huron","Uniteed States","http://dbpedia.org/resource/United_States","59,600 km2 (23,000 sq mi)","332 km (206 mi)","229 m (751 ft)","3,540 km3 (850 cu mi)"
"5","Miichigan","http://dbpedia.org/resource/Lake_Michigan","United Statess","http://dbpedia.org/resource/United_States","58,000 km2 (22,000 sq mi)","494 km (307 mi)","281 m (922 ft)","4,900 km3 (1,200 cu mi)"
"6","Tanganyikaa","http://dbpedia.org/resource/Lake_Tanganyika","Burundi","http://dbpedia.org/resource/Burundi","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"6","Tanganyika","http://dbpedia.org/resource/Lake_Tanganyika","Taanzania","http://dbpedia.org/resource/Tanzania","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"6","Tanganyikaa","http://dbpedia.org/resource/Lake_Tanganyika","Zambiaa","http://dbpedia.org/resource/Zambia","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"6","Tanganyikaa","http://dbpedia.org/resource/Lake_Tanganyika","Democratic Republic off the Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","32,600 km2 (12,600 sq mi)","676 km (420 mi)","1,470 m (4,820 ft)","18,900 km3 (4,500 cu mi)"
"7","Baikall","http://dbpedia.org/resource/Lake_Baikal","Russia","http://dbpedia.org/resource/Russia","31,500 km2 (12,200 sq mi)","636 km (395 mi)","1,637 m (5,371 ft)","23,600 km3 (5,700 cu mi)"
"8","Great Bear Lakee","http://dbpedia.org/resource/Great_Bear_Lake","Canadaa","http://dbpedia.org/resource/Canada","31,000 km2 (12,000 sq mi)","373 km (232 mi)","446 m (1,463 ft)","2,236 km3 (536 cu mi)"
"9","Malawii","http://dbpedia.org/resource/Lake_Malawi","Malawi","http://dbpedia.org/resource/Malawi","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)"
"9","Malawii","http://dbpedia.org/resource/Lake_Malawi","Mozambiquee","http://dbpedia.org/resource/Mozambique","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)"
"9","Malawii","http://dbpedia.org/resource/Lake_Malawi","Tanzaniaa","http://dbpedia.org/resource/Tanzania","29,500 km2 (11,400 sq mi)","579 km (360 mi)","706 m (2,316 ft)","8,400 km3 (2,000 cu mi)"
"10","Great Slave Lake","http://dbpedia.org/resource/Great_Slave_Lake","Canada","http://dbpedia.org/resource/Canada","27,000 km2 (10,000 sq mi)","480 km (300 mi)","614 m (2,014 ft)","1,560 km3 (370 cu mi)"
"11","Eriee","http://dbpedia.org/resource/Lake_Erie","United Statess","http://dbpedia.org/resource/United_States","25,700 km2 (9,900 sq mi)","388 km (241 mi)","64 m (210 ft)","489 km3 (117 cu mi)"
"11","Eriie","http://dbpedia.org/resource/Lake_Erie","Canadaa","http://dbpedia.org/resource/Canada","25,700 km2 (9,900 sq mi)","388 km (241 mi)","64 m (210 ft)","489 km3 (117 cu mi)"
"12","Winnipegg","http://dbpedia.org/resource/Lake_Winnipeg","Canada","http://dbpedia.org/resource/Canada","24,514 km2 (9,465 sq mi)","425 km (264 mi)","36 m (118 ft)","283 km3 (68 cu mi)"
"13","Ontariio","http://dbpedia.org/resource/Lake_Ontario","Canadaa","http://dbpedia.org/resource/Canada","18,960 km2 (7,320 sq mi)","311 km (193 mi)","244 m (801 ft)","1,639 km3 (393 cu mi)"
"13","Ontarioo","http://dbpedia.org/resource/Lake_Ontario","United Statess","http://dbpedia.org/resource/United_States","18,960 km2 (7,320 sq mi)","311 km (193 mi)","244 m (801 ft)","1,639 km3 (393 cu mi)"
"14","Ladoga","http://dbpedia.org/resource/Lake_Ladoga","Russiaa","http://dbpedia.org/resource/Russia","18,130 km2 (7,000 sq mi)","219 km (136 mi)","230 m (750 ft)","908 km3 (218 cu mi)"
"15","Balkhash","http://dbpedia.org/resource/Lake_Balkhash","Kazakhstann","http://dbpedia.org/resource/Kazakhstan","16,400 km2 (6,300 sq mi)","605 km (376 mi)","26 m (85 ft)","106 km3 (25 cu mi)"
"16","Vostok","http://dbpedia.org/resource/Lake_Vostok","Antarctica","http://dbpedia.org/resource/Antarctica","12,500 km2 (4,800 sq mi)","250 km (160 mi)","900–1,000 m (3,000–3,300 ft)","5,400 ± 1,600 km3 (1,300 ± 380 cu mi)"
"17","Onegaa","http://dbpedia.org/resource/Lake_Onega","Russsia","http://dbpedia.org/resource/Russia","9,700 km2 (3,700 sq mi)","245 km (152 mi)","127 m (417 ft)","285 km3 (68 cu mi)"
"18","Titicacaa","http://dbpedia.org/resource/Lake_Titicaca","Bolivia","http://dbpedia.org/resource/Bolivia","8,372 km2 (3,232 sq mi)","177 km (110 mi)","281 m (922 ft)","893 km3 (214 cu mi)"
"18","Titicaca","http://dbpedia.org/resource/Lake_Titicaca","Peru","http://dbpedia.org/resource/Peru","8,372 km2 (3,232 sq mi)","177 km (110 mi)","281 m (922 ft)","893 km3 (214 cu mi)"
"19","Nicaraagua","http://dbpedia.org/resource/Lake_Nicaragua","Nicaragua","http://dbpedia.org/resource/Nicaragua","8,264 km2 (3,191 sq mi)","177 km (110 mi)","26 m (85 ft)","108 km3 (26 cu mi)"
"20","Athabasca","http://dbpedia.org/resource/Lake_Athabasca","Canada","http://dbpedia.org/resource/Canada","7,850 km2 (3,030 sq mi)","335 km (208 mi)","243 m (797 ft)","204 km3 (49 cu mi)"
"21","Taymyrr","http://dbpedia.org/resource/Lake_Taymyr","Russiaa","http://dbpedia.org/resource/Russia","6,990 km2 (2,700 sq mi)","250 km (160 mi)","26 m (85 ft)","12.8 km3 (3.1 cu mi)"
"22","Turkaana","http://dbpedia.org/resource/Lake_Turkana","Ethiopia","http://dbpedia.org/resource/Ethiopia","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)"
"22","Turkkana","http://dbpedia.org/resource/Lake_Turkana","Kenyaa","http://dbpedia.org/resource/Kenya","6,405 km2 (2,473 sq mi)","248 km (154 mi)","109 m (358 ft)","204 km3 (49 cu mi)"
