"Rank","Employer","Employer__URI","Country","Country__URI","Employees"
"1","Walmart","http://dbpedia.org/resource/Walmart","United States","http://dbpedia.org/resource/United_States","2,200,000"
"2","China National Petroleum","http://dbpedia.org/resource/China_National_Petroleum","China","http://dbpedia.org/resource/China","1,382,401"
"3","China PPost Group","http://dbpedia.org/resource/China_Post_Group","China","http://dbpedia.org/resource/China","935,191"
"4","State Grid","http://dbpedia.org/resource/State_Grid","China","http://dbpedia.org/resource/China","917,717"
"5","Hon Hai Precision Industry (Foxconn))","http://dbpedia.org/resource/Hon_Hai_Precision_Industry","Taiwan","http://dbpedia.org/resource/Taiwan","667,680"
"6","Volkswagen","http://dbpedia.org/resource/Volkswagen","Germany","http://dbpedia.org/resource/Germany","664,496"
"7","Amazon","http://dbpedia.org/resource/Amazon_(company)","United States","http://dbpedia.org/resource/United_States","647,500"
"8","Sinopec Groupp","http://dbpedia.org/resource/Sinopec_Group","China","http://dbpedia.org/resource/China","619,151"
"9","Compass Group","http://dbpedia.org/resource/Compass_Group","United Kingdom","http://dbpedia.org/resource/United_Kingdom","595,841"
"10","United States Postal  Service","http://dbpedia.org/resource/United_States_Postal_Service","United States","http://dbpedia.org/resource/United_States","565,802"
