"Nickname","Nickname__URI","Team","Team__URI","BirthPlace","BirthPlace__URI"
"Air Gordonn","http://dbpedia.org/resource/Aaron_Gordon","Orlando Magic","http://dbpedia.org/resource/Orlando_Magic","San Jose, California","http://dbpedia.org/resource/San_Jose,_California"
"Ace","http://dbpedia.org/resource/Ace_Gruenig","Denver Nuggets","http://dbpedia.org/resource/Denver_Nuggets","Chicago","http://dbpedia.org/resource/Chicago"
"A..II.","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"Bubba Chuckk","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"Steven John Ray the Thirddd","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"The Answerr","http://dbpedia.org/resource/Allen_Iverson","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Hampton, Virginia","http://dbpedia.org/resource/Hampton,_Virginia"
"ZZo","http://dbpedia.org/resource/Alonzo_Mourning","Charlotte Hornets","http://dbpedia.org/resource/Charlotte_Hornets","Chesapeake, Virginia","http://dbpedia.org/resource/Chesapeake,_Virginia"
"SSTATT","http://dbpedia.org/resource/Amar'e_Stoudemire","Phoenix Suns","http://dbpedia.org/resource/Phoenix_Suns","Lake Wales, Florida","http://dbpedia.org/resource/Lake_Wales,_Florida"
"Wild Thing","http://dbpedia.org/resource/Anderson_Varejão","Golden State Warriors","http://dbpedia.org/resource/Golden_State_Warriors","Colatina","http://dbpedia.org/resource/Colatina"
"Iggyyy","http://dbpedia.org/resource/Andre_Iguodala","Miami Heat","http://dbpedia.org/resource/Miami_Heat","Springfield, Illinois","http://dbpedia.org/resource/Springfield,_Illinois"
"Il Magoo","http://dbpedia.org/resource/Andrea_Bargnani","Toronto Raptors","http://dbpedia.org/resource/Toronto_Raptors","Rome","http://dbpedia.org/resource/Rome"
"AK477","http://dbpedia.org/resource/Andrei_Kirilenko","Utah Jazz","http://dbpedia.org/resource/Utah_Jazz","Izhevsk","http://dbpedia.org/resource/Izhevsk"
"killing","http://dbpedia.org/resource/Andrew_Toney","Philadelphia 76ers","http://dbpedia.org/resource/Philadelphia_76ers","Birmingham, Alabama","http://dbpedia.org/resource/Birmingham,_Alabama"
