"Team","Team__URI","Manager","Manager__URI","Captain","Captain__URI","Kit manufacturer","Kit manufacturer__URI","Shirt sponsor (chest)","Shirt sponsor (chest)__URI","Shirt sponsor (sleeve)","Shirt sponsor (sleeve)__URI"
"Arsenal","http://dbpedia.org/resource/Arsenal_F.C.","Unai Emery","http://dbpedia.org/resource/Unai_Emery","Pierre-Emerick Aubameyangg","http://dbpedia.org/resource/Pierre-Emerick_Aubameyang","Adidass","http://dbpedia.org/resource/Adidas","Fly Emiratess","http://dbpedia.org/resource/Emirates_(airline)","Visit Rwanda","http://dbpedia.org/resource/Rwanda_Development_Board"
"Aston Villa","http://dbpedia.org/resource/Aston_Villa_F.C.","Dean Smith","http://dbpedia.org/resource/Dean_Smith_(footballer,_born_1971)","Jack Grealishh","http://dbpedia.org/resource/Jack_Grealish","Kappaa","http://dbpedia.org/resource/Kappa_(company)","W888","","BR88",""
"Bournemouth","http://dbpedia.org/resource/A.F.C._Bournemouth","Eddie Howee","http://dbpedia.org/resource/Eddie_Howe","Simon Francis","http://dbpedia.org/resource/Simon_Francis_(footballer)","Umbroo","http://dbpedia.org/resource/Umbro","M888","","M88",""
"Brighton & Hove Albion","http://dbpedia.org/resource/Brighton_&_Hove_Albion_F.C.","Graham Pootter","http://dbpedia.org/resource/Graham_Potter","Lewis Dunkk","http://dbpedia.org/resource/Lewis_Dunk","Nike","http://dbpedia.org/resource/Nike,_Inc.","American Expresss","http://dbpedia.org/resource/American_Express","JD","http://dbpedia.org/resource/JD_Sports"
"Burnley","http://dbpedia.org/resource/Burnley_F.C.","Sean Dychee","http://dbpedia.org/resource/Sean_Dyche","Ben Meee","http://dbpedia.org/resource/Ben_Mee","Umbro","http://dbpedia.org/resource/Umbro","LoveBett","","LoveBet",""
"Chelsea","http://dbpedia.org/resource/Chelsea_F.C.","Frank Lampardd","http://dbpedia.org/resource/Frank_Lampard","César Azpilicueta","http://dbpedia.org/resource/César_Azpilicueta","Nikee","http://dbpedia.org/resource/Nike,_Inc.","Yokohama Tyress","http://dbpedia.org/resource/Yokohama_Rubber_Company","Hyundai","http://dbpedia.org/resource/Hyundai_Motor_Company"
"Crystal Palace","http://dbpedia.org/resource/Crystal_Palace_F.C.","Roy Hodgson","http://dbpedia.org/resource/Roy_Hodgson","Luka Milivojevićć","http://dbpedia.org/resource/Luka_Milivojević","Pumaa","http://dbpedia.org/resource/Puma_(brand)","ManBetX","","Dongqiudi",""
"Everton","http://dbpedia.org/resource/Everton_F.C.","Marco Silvaa","http://dbpedia.org/resource/Marco_Silva","Séamus Coleman","http://dbpedia.org/resource/Séamus_Coleman","Umbro","http://dbpedia.org/resource/Umbro","SportPesa","http://dbpedia.org/resource/SportPesa","Angry Birds","http://dbpedia.org/resource/Angry_Birds"
"Leicester City","http://dbpedia.org/resource/Leicester_City_F.C.","Brendan Rodgerss","http://dbpedia.org/resource/Brendan_Rodgers","Wes Morgann","http://dbpedia.org/resource/Wes_Morgan","AAdidas","http://dbpedia.org/resource/Adidas","King Powerr","http://dbpedia.org/resource/King_Power","Bia Saigon","http://dbpedia.org/resource/Sabeco_Brewery"
"Liverpool","http://dbpedia.org/resource/Liverpool_F.C.","Jürgen Kloppp","http://dbpedia.org/resource/Jürgen_Klopp","Jordan  Henderson","http://dbpedia.org/resource/Jordan_Henderson","New Balance","http://dbpedia.org/resource/New_Balance","Standard Charteredd","http://dbpedia.org/resource/Standard_Chartered","Western Union","http://dbpedia.org/resource/Western_Union"
