"player","player__URI","team","team__URI"
"George Andersoon","http://dbpedia.org/resource/George_Anderson_(footballer,_born_1953)","Aiirdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Samuel Young","http://dbpedia.org/resource/Samuel_Young_(footballer)","Ireland national football team","http://dbpedia.org/resource/Ireland_national_football_team_(1882–1950)"
"James Price","http://dbpedia.org/resource/James_Price_(footballer)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Alfred Brownn","http://dbpedia.org/resource/Alfred_Brown_(footballer)","Rotherham Town F.C..","http://dbpedia.org/resource/Rotherham_Town_F.C._(1899)"
"Tom Taylor","http://dbpedia.org/resource/Tom_Taylor_(English_footballer)","Portland Timbers","http://dbpedia.org/resource/Portland_Timbers_(2001–10)"
"Johhn Miller","http://dbpedia.org/resource/John_Miller_(footballer,_born_1870)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Andrew Watt","http://dbpedia.org/resource/Andrew_Watt_(lacrosse)","Peterborough Lakers","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"James Hopkins","http://dbpedia.org/resource/James_Hopkins_(footballer,_born_1901)","Ireland national football teamm","http://dbpedia.org/resource/Ireland_national_football_team_(1882–1950)"
"Eddie Henderson","http://dbpedia.org/resource/Eddie_Henderson_(soccer)","Seattle Stormm","http://dbpedia.org/resource/Seattle_Storm_(soccer)"
"József Horváth","http://dbpedia.org/resource/József_Horváth_(footballer)","New Jersey Rockets","http://dbpedia.org/resource/New_Jersey_Rockets_(MISL)"
"David Butler","http://dbpedia.org/resource/David_Butler_(footballer,_born_1953)","Seattle Sounderss","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"David Urquhartt","http://dbpedia.org/resource/David_Urquhart_(ice_hockey)","Hamilton Bullldogs","http://dbpedia.org/resource/Hamilton_Bulldogs_(AHL)"
"Paul KKeegan","http://dbpedia.org/resource/Paul_Keegan_(footballer,_born_1972)","Boston Bulldogss","http://dbpedia.org/resource/Boston_Bulldogs_(soccer)"
"Alexander Wood","http://dbpedia.org/resource/Alexander_Wood_(footballer)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Patt McMahon","http://dbpedia.org/resource/Pat_McMahon_(footballer,_born_1945)","Portland Timberss","http://dbpedia.org/resource/Portland_Timbers_(1975–82)"
"John Hinton","http://dbpedia.org/resource/John_Hinton_(footballer)","Thornycroftss","http://dbpedia.org/resource/Thornycrofts_(Woolston)_F.C."
"George Brownn","http://dbpedia.org/resource/George_Brown_(footballer,_born_1928)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Stuart Taylor","http://dbpedia.org/resource/Stuart_Taylor_(footballer,_born_1974)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Colin McDonaldd","http://dbpedia.org/resource/Colin_McDonald_(footballer,_born_1974)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Brian Rosss","http://dbpedia.org/resource/Brian_Ross_(footballer)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Colin Campbelll","http://dbpedia.org/resource/Colin_Campbell_(footballer,_born_1956)","Airdrieonnians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
