"Year","Game","Game__URI","Genre","Genre__URI","Platform(s)","Platform(s)__URI","Developer(s)","Unnamed: 8"
"2010","Red Dead Redemption","http://dbpedia.org/resource/Red_Dead_Redemption","Open Worldd","http://dbpedia.org/resource/Open_world","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","Rockstar San Diego","http://dbpedia.org/resource/Rockstar_San_Diego"
"2010","Red Dead Redemption","http://dbpedia.org/resource/Red_Dead_Redemption","(Third-Person) Shooter","http://dbpedia.org/resource/Third_Person_Shooter","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","Rockstar San Diego","http://dbpedia.org/resource/Rockstar_San_Diego"
"2010","Red Dead Redemption","http://dbpedia.org/resource/Red_Dead_Redemption","Open World","http://dbpedia.org/resource/Open_world","Xbox 360","http://dbpedia.org/resource/Xbox_360","Rockstar San Diego","http://dbpedia.org/resource/Rockstar_San_Diego"
"2010","Red Dead Redemption","http://dbpedia.org/resource/Red_Dead_Redemption","(Third-Person) Shooterr","http://dbpedia.org/resource/Third_Person_Shooter","Xbox 360","http://dbpedia.org/resource/Xbox_360","Rockstar San Diego","http://dbpedia.org/resource/Rockstar_San_Diego"
"2009","Uncharted 2: Among Thieves","http://dbpedia.org/resource/Uncharted_2:_Among_Thieves","Action-aadventuree","http://dbpedia.org/resource/Action-adventure_game","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","Naughty Dog","http://dbpedia.org/resource/Naughty_Dog"
"2009","Uncharted 2: Among Thieves","http://dbpedia.org/resource/Uncharted_2:_Among_Thieves","Third-person shooterr","http://dbpedia.org/resource/Third_Person_Shooter","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","Naughty Dog","http://dbpedia.org/resource/Naughty_Dog"
"2008","Grand Theft Auto IV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Open Worlld","http://dbpedia.org/resource/Open_world","Windows","http://dbpedia.org/resource/Microsoft_Windows","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2008","Grand Theft Auto IV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Actioonn","http://dbpedia.org/resource/Action_game","Windows","http://dbpedia.org/resource/Microsoft_Windows","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2008","Grand Theft Auto IV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","OOpen Worldd","http://dbpedia.org/resource/Open_world","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2008","Grand Theft Auto IV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Actionnn","http://dbpedia.org/resource/Action_game","PlayStation 3","http://dbpedia.org/resource/PlayStation_3","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2008","Grand Theft Auto IV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Open Worldd","http://dbpedia.org/resource/Open_world","Xbox 360","http://dbpedia.org/resource/Xbox_360","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
"2008","Grand Theft Auto IV","http://dbpedia.org/resource/Grand_Theft_Auto_IV","Actiion","http://dbpedia.org/resource/Action_game","Xbox 360","http://dbpedia.org/resource/Xbox_360","Rockstar North","http://dbpedia.org/resource/Rockstar_North"
