"Team","Team__URI","Home city","Home city__URI","Stadium","Stadium__URI","Capacity","2018–19 season"
"Atalanta","http://dbpedia.org/resource/Atalanta_B.C.","Bergamo","http://dbpedia.org/resource/Bergamo","Gewiss Stadium","http://dbpedia.org/resource/Stadio_Atleti_Azzurri_d'Italia","21,300","3rd in Serie A"
"Bologna","http://dbpedia.org/resource/Bologna_F.C._1909","Bologna","http://dbpedia.org/resource/Bologna","Stadio Renato Dall'Ara","http://dbpedia.org/resource/Stadio_Renato_Dall'Ara","38,279","10th in Serie A"
"Brescia","http://dbpedia.org/resource/Brescia_Calcio","Brescia","http://dbpedia.org/resource/Brescia","Stadio Mario Rigamonti","http://dbpedia.org/resource/Stadio_Mario_Rigamonti","16,743","Serie B champions"
"Cagliari","http://dbpedia.org/resource/Cagliari_Calcio","Cagliari","http://dbpedia.org/resource/Cagliari","Sardegna Arena","","16,233","15th in Serie A"
"Fiorentina","http://dbpedia.org/resource/ACF_Fiorentina","Florence","http://dbpedia.org/resource/Florence","Stadio Artemio Franchi","http://dbpedia.org/resource/Stadio_Artemio_Franchi","43,147","16th in Serie A"
"Genoa","http://dbpedia.org/resource/Genoa_C.F.C.","Genoa","http://dbpedia.org/resource/Genoa","Stadio Luigi Ferraris","http://dbpedia.org/resource/Stadio_Luigi_Ferraris","36,685","17th in Serie A"
"Hellas Verona","http://dbpedia.org/resource/Hellas_Verona_F.C.","Verona","http://dbpedia.org/resource/Verona","Stadio Marc'Antonio Bentegodi","http://dbpedia.org/resource/Stadio_Marc'Antonio_Bentegodi","39,211","Serie B Playoff champions"
"Internazionale","http://dbpedia.org/resource/Inter_Milan","Milan","http://dbpedia.org/resource/Milan","San Siro","http://dbpedia.org/resource/San_Siro","80,018","4th in Serie A"
"Juventus","http://dbpedia.org/resource/Juventus_F.C.","Turin","http://dbpedia.org/resource/Turin","Allianz Stadium","http://dbpedia.org/resource/Juventus_Stadium","41,507","Serie A champions"
"Lazio","http://dbpedia.org/resource/S.S._Lazio","Rome","http://dbpedia.org/resource/Rome","Stadio Olimpico","http://dbpedia.org/resource/Stadio_Olimpico","72,698","8th in Serie A"
"Lecce","http://dbpedia.org/resource/US_Lecce","Lecce","http://dbpedia.org/resource/Lecce","Stadio Via del Mare","http://dbpedia.org/resource/Stadio_Via_del_Mare","33,876","2nd in Serie B"
"Milan","http://dbpedia.org/resource/A.C._Milan","Milan","http://dbpedia.org/resource/Milan","San Siro","http://dbpedia.org/resource/San_Siro","80,018","5th in Serie A"
"Napoli","http://dbpedia.org/resource/S.S.C._Napoli","Naples","http://dbpedia.org/resource/Naples","Stadio San Paolo","http://dbpedia.org/resource/Stadio_San_Paolo","60,240","2nd in Serie A"
"Parma","http://dbpedia.org/resource/A.C._Milan","Parma","http://dbpedia.org/resource/Parma","Stadio Ennio Tardini","http://dbpedia.org/resource/Stadio_Ennio_Tardini","27,906","14th in Serie A"
"Roma","http://dbpedia.org/resource/A.S._Roma","Rome","http://dbpedia.org/resource/Rome","Stadio Olimpico","http://dbpedia.org/resource/Stadio_Olimpico","72,698","6th in Serie A"
"Sampdoria","http://dbpedia.org/resource/U.C._Sampdoria","Genoa","http://dbpedia.org/resource/Genoa","Stadio Luigi Ferraris","http://dbpedia.org/resource/Stadio_Luigi_Ferraris","36,685","9th in Serie A"
"Sassuolo","http://dbpedia.org/resource/U.S._Sassuolo_Calcio","Sassuolo","http://dbpedia.org/resource/Sassuolo","Mapei Stadium – Città del Tricolore","http://dbpedia.org/resource/Mapei_Stadium_–_Città_del_Tricolore","23,717","11th in Serie A"
"SPAL","http://dbpedia.org/resource/S.P.A.L.","Ferrara","http://dbpedia.org/resource/Ferrara","Stadio Paolo Mazza","http://dbpedia.org/resource/Stadio_Paolo_Mazza","16,164","13th in Serie A"
"Torino","http://dbpedia.org/resource/Torino_F.C.","Turin","http://dbpedia.org/resource/Turin","Stadio Olimpico Grande Torino","http://dbpedia.org/resource/Stadio_Olimpico_Grande_Torino","27,994","7th in Serie A"
"Udinese","http://dbpedia.org/resource/Udinese_Calcio","Udine","http://dbpedia.org/resource/Udine","Stadio Friuli","http://dbpedia.org/resource/Stadio_Friuli","25,132","12th in Serie A"
